1,1000,0.0,0.0,0.0,"[0.16666666666666008, 0.16666666666666008, 0.16666666666666008, 0.16666666666666008, 0.16666666666666008, 0.16666666666666008]"
2,2000,0.0,0.0,0.0,"[0.16145246793616053, 0.16534392304440673, 0.14046140958726602, 0.1859263223609407, 0.15300871348686482, 0.1938071635843406]"
3,3000,9.939798723548143e-08,6.521151089065925e-12,4.662313835091586e-08,"[0.15453346959477068, 0.1690100685068799, 0.12453031930852926, 0.18893441889461177, 0.14605412508799603, 0.21693759860719913]"
4,4000,9.961713255496524e-08,4.9957269078374474e-12,3.534022816790183e-08,"[0.14876429486826787, 0.17205131187523007, 0.11386423643326941, 0.1884944930197692, 0.1413134142453206, 0.23551224955813257]"
5,5000,9.217431615315515e-08,4.013614783469859e-12,2.8332365885925794e-08,"[0.14461896727601448, 0.1728730216624953, 0.1074889561219016, 0.18887870809006388, 0.13833402114874357, 0.24780632570077302]"
6,6000,9.615977824490997e-08,3.489176335539303e-12,2.411492046962939e-08,"[0.14138950504288433, 0.17428488545248372, 0.1029111024093299, 0.18829571554096025, 0.13614494636883318, 0.2569738451855019]"
7,7000,1.0211486929993224e-07,3.154722489904152e-12,2.1229098930827914e-08,"[0.1391661792057296, 0.1750097694979819, 0.0996469719771415, 0.18790654335965318, 0.13456145263911837, 0.26370908332036963]"
8,8000,1.0284824152323816e-07,2.806833654859659e-12,1.8731102659946567e-08,"[0.13754188982115134, 0.17546264457784047, 0.09710898094259791, 0.18731875965393757, 0.13300636896800433, 0.26956135603646325]"
9,9000,1.862905723180043e-07,5.625716783047735e-11,7.906197838157476e-08,"[0.13610810554623742, 0.17570024971225942, 0.09520249067092175, 0.1873080234037424, 0.1319100863109824, 0.273771044355852]"
10,10000,1.7636352030457855e-07,5.085547705986629e-11,7.13130262012953e-08,"[0.13509014221831875, 0.17624954275304833, 0.09369148070702468, 0.18690324123031526, 0.13126438323972778, 0.276801209851561]"
11,11000,1.8248712603398428e-07,4.7066099467056976e-11,6.541205022919704e-08,"[0.13400665354741606, 0.17649184247814748, 0.09237232714391919, 0.18686801730769897, 0.13055034337648305, 0.2797108161463313]"
12,12000,1.7290351613985553e-07,4.3159081762410453e-11,5.997157782539608e-08,"[0.13302625479102675, 0.17642462970969358, 0.09125214078649169, 0.1871488802820762, 0.130132189850911, 0.28201590457979714]"
13,13000,1.7027124176523342e-07,3.991836780667393e-11,5.541338897267028e-08,"[0.13243205618914336, 0.1763099833281197, 0.0902753148642867, 0.1871019686660288, 0.12945968708970737, 0.28442098986271075]"
