1,1000,0.0,0.0,0.0,"[0.5, 0.5]"
2,2000,4.0537471973134314e-09,2.468085957786209e-14,3.5128947876261603e-09,"[0.5851220488104115, 0.4148779511895892]"
3,3000,8.686759228616756e-09,3.0428505668264855e-14,3.1847818171351944e-09,"[0.619153722579367, 0.3808462774206337]"
4,4000,8.884030772758468e-09,2.4925749742436387e-14,2.4962847264703394e-09,"[0.6424775478198579, 0.3575224521801427]"
5,5000,1.2032604399820453e-08,3.1570544168642894e-14,2.512789054761378e-09,"[0.6596532137277378, 0.3403467862722627]"
6,6000,1.843745443991456e-08,1.2713680810965686e-13,4.603201931077557e-09,"[0.6725346045116546, 0.32746539548834586]"
7,7000,2.1464850694323646e-08,1.1721217465897922e-13,4.092016175414532e-09,"[0.6828416444530901, 0.31715835554691035]"
8,8000,2.281124988043546e-08,1.1061727642575906e-13,3.7184888803410292e-09,"[0.6910388990463164, 0.3089611009536841]"
9,9000,2.3782555298518444e-08,1.0946953992841633e-13,3.487589742826481e-09,"[0.6985318530602643, 0.3014681469397361]"
10,10000,3.220752503984922e-08,6.756853269879158e-13,8.220008071698688e-09,"[0.7047364783763823, 0.29526352162361813]"
11,11000,3.44179484146997e-08,6.450250238518159e-13,7.657586991473441e-09,"[0.7097338496870479, 0.29026615031295255]"
12,12000,3.561472906605456e-08,6.432647633050497e-13,7.3215706608683e-09,"[0.7148838651928197, 0.28511613480718073]"
13,13000,6.072919305455979e-08,7.193941324033614e-12,2.352403243172266e-08,"[0.7178544223166369, 0.28214557768336357]"
14,14000,5.7846984052117034e-08,6.6826438554602015e-12,2.1847922188653156e-08,"[0.722453327318601, 0.2775466726813995]"
15,15000,5.435673649864524e-08,6.237346910818695e-12,2.039174164675281e-08,"[0.7264470803557637, 0.2735529196442368]"
16,16000,5.375806676220264e-08,5.851786906098977e-12,1.912424329564927e-08,"[0.7267462866462563, 0.2732537133537442]"
17,17000,5.370637628442324e-08,5.567846477207434e-12,1.8097524168023704e-08,"[0.7290280241476262, 0.2709719758523741]"
18,18000,5.281718554990613e-08,5.262469836120647e-12,1.709852143724819e-08,"[0.7309766642736879, 0.2690233357263125]"
19,19000,5.19808466023682e-08,5.008320016627302e-12,1.6235633352253474e-08,"[0.7329795953831082, 0.26702040461689214]"
20,20000,5.021420053748271e-08,4.760871947410192e-12,1.5428661554733438e-08,"[0.7354080225098859, 0.2645919774901144]"
21,21000,4.9962987210666664e-08,4.586773193072234e-12,1.4778963803280586e-08,"[0.7376944422423759, 0.2623055577576244]"
22,22000,4.8294397788640924e-08,4.378592110188452e-12,1.4107689892376962e-08,"[0.7395642741376621, 0.2604357258623381]"
23,23000,4.724354854626356e-08,4.189081850045834e-12,1.3495702778301456e-08,"[0.7409505628786601, 0.2590494371213402]"
24,24000,4.605101019158471e-08,4.014983143133794e-12,1.2934100830643057e-08,"[0.742415416326023, 0.2575845836739772]"
25,25000,4.5435362873690695e-08,3.859402667015482e-12,1.242481817495207e-08,"[0.7439601042639732, 0.256039895736027]"
26,26000,4.5224384979460485e-08,3.729884932382862e-12,1.1977358339131222e-08,"[0.7451797338401974, 0.25482026615980274]"
27,27000,4.412604440502915e-08,3.5919453230428995e-12,1.1534080455959713e-08,"[0.7458348187365155, 0.25416518126348475]"
28,28000,4.3539656197876526e-08,3.465352837151086e-12,1.1124864103746369e-08,"[0.7466097690250744, 0.2533902309749258]"
29,29000,4.331256546973727e-08,3.350443865585548e-12,1.074860675107043e-08,"[0.7470626743467305, 0.2529373256532697]"
30,30000,4.228421208108545e-08,3.238974048847801e-12,1.0390659345212894e-08,"[0.748561566001994, 0.2514384339980062]"
31,31000,4.174016210168047e-08,3.1385395889724908e-12,1.006196862187016e-08,"[0.7497473230744626, 0.2502526769255376]"
32,32000,4.095707511152161e-08,3.0409107639424724e-12,9.748254273109737e-09,"[0.750802533024726, 0.24919746697527406]"
33,33000,4.0140887173028776e-08,2.9489287824654934e-12,9.453120027616813e-09,"[0.7518313968223911, 0.24816860317760903]"
34,34000,3.984459850819554e-08,2.863533853696385e-12,9.177231822954382e-09,"[0.7524350467844089, 0.24756495321559124]"
35,35000,3.9828605896557014e-08,2.7861802796686945e-12,8.922171868310819e-09,"[0.7534004273622193, 0.24659957263778065]"
36,36000,3.906852188481519e-08,2.7092949528003316e-12,8.675148017950042e-09,"[0.7538525612987671, 0.24614743870123293]"
37,37000,3.9662742877043655e-08,2.6638979752777182e-12,8.485118889860853e-09,"[0.7544343048145669, 0.24556569518543314]"
38,38000,3.893664815488799e-08,2.5939764823637006e-12,8.262114681458439e-09,"[0.7551809242536845, 0.24481907574631542]"
39,39000,3.879631860686483e-08,2.5350071298001457e-12,8.062269086019664e-09,"[0.7557322143422012, 0.2442677856577989]"
40,40000,3.8840258163331396e-08,2.474392407397491e-12,7.865100773984862e-09,"[0.7561370552946852, 0.24386294470531475]"
41,41000,3.8458638461853136e-08,2.4163748013195604e-12,7.67697666818727e-09,"[0.7567378519186767, 0.2432621480813232]"
42,42000,3.922991733493549e-08,2.4025075182880863e-12,7.563237399370731e-09,"[0.7574364142226195, 0.2425635857773804]"
43,43000,3.91760032638167e-08,2.3516216876285464e-12,7.395192793732819e-09,"[0.7578572312793422, 0.2421427687206577]"
44,44000,3.926215578690567e-08,2.3056050303748858e-12,7.238792325153551e-09,"[0.7580267010835481, 0.24197329891645183]"
45,45000,3.888996956549672e-08,2.254711201420634e-12,7.078466879551177e-09,"[0.758342225216798, 0.24165777478320186]"
46,46000,3.8460794064830595e-08,2.2060522239933547e-12,6.925146716376037e-09,"[0.7588956913925379, 0.24110430860746201]"
47,47000,3.981558024994686e-08,2.2199519795015334e-12,6.87262837933626e-09,"[0.759215524813863, 0.24078447518613677]"
48,48000,4.281542046204617e-08,2.5669544302837594e-12,7.312880232683858e-09,"[0.759191215055726, 0.24080878494427382]"
49,49000,4.232151729710266e-08,2.514737546880582e-12,7.1638798444791305e-09,"[0.7595324074183807, 0.24046759258161904]"
50,50000,4.191794228172835e-08,2.4664294711252753e-12,7.023431456382663e-09,"[0.7600007069208599, 0.2399992930791399]"
51,51000,4.1737373417618896e-08,2.4189622897585384e-12,6.886990135938948e-09,"[0.7598697743311887, 0.240130225668811]"
52,52000,4.110407087852005e-08,2.3725434504227457e-12,6.754689895550558e-09,"[0.7602636312140477, 0.23973636878595203]"
53,53000,4.080366405166777e-08,2.3285448669016284e-12,6.628333788326044e-09,"[0.760479895210752, 0.23952010478924768]"
54,54000,4.048714846528231e-08,2.2862223198525096e-12,6.5067234740412215e-09,"[0.7607286700181676, 0.2392713299818321]"
55,55000,4.012319549806465e-08,2.2449434158639996e-12,6.388830332362027e-09,"[0.761070266846254, 0.23892973315374558]"
