1,1000,0.0,0.0,0.0,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
2,2000,0.0,0.0,0.0,"[0.11690409712698296, 0.11703527028706576, 0.13369745929380464, 0.11728007651346771, 0.15576537309532784, 0.11019303459608229, 0.11527084130912928, 0.13385384777813944]"
3,3000,0.0,0.0,0.0,"[0.10902859404259328, 0.10924841579841142, 0.14199634749420917, 0.10959215353304487, 0.18022431608988285, 0.10052911050784509, 0.10690553862388806, 0.14247552391012527]"
4,4000,1.1316580645064088e-13,2.8122519924361563e-23,8.384885199625807e-14,"[0.10236671652546558, 0.10261821798242987, 0.14880221036624156, 0.10299679513080154, 0.19970257478401826, 0.09388910485518226, 0.10025477730735975, 0.14936960304850097]"
5,5000,2.16688375233021e-13,7.217073866267648e-23,1.2014219796780519e-13,"[0.09671099917215736, 0.09702369405244403, 0.1542453632111919, 0.09739172222750173, 0.21566592268331045, 0.0890415103077077, 0.09495432557002265, 0.15496646277566417]"
6,6000,9.982381794863472e-11,5.912058370460434e-17,9.92644479027313e-11,"[0.09192101106405383, 0.092281728434296, 0.158502217842584, 0.09273146760753202, 0.22889861237682316, 0.08547812224759864, 0.0906835354049414, 0.15950330502217092]"
7,7000,8.746020136944981e-11,5.068319330197135e-17,8.509087016828484e-11,"[0.08754281604913658, 0.0879540114240937, 0.16209776106260565, 0.08860491452737476, 0.24025292110618326, 0.08292884743438791, 0.0870026172175988, 0.16361611117861924]"
8,8000,7.711891104603851e-11,4.4349373775062546e-17,7.445583739293258e-11,"[0.08352640588787065, 0.08398999177130617, 0.1654050966589285, 0.08492226692758083, 0.250199828619232, 0.08089220142851038, 0.08377904882353389, 0.16728515988303747]"
9,9000,7.869149616178064e-11,4.0071333234845014e-17,6.67260845504007e-11,"[0.07991237801074497, 0.08042357042495282, 0.16821693607677402, 0.08161409079511363, 0.25905246365559453, 0.0792132377108375, 0.08100736967468992, 0.17055995365129253]"
10,10000,7.162017043487968e-11,3.606744067979418e-17,6.005617427025649e-11,"[0.07685403444869413, 0.07740412865859018, 0.1707006835778613, 0.07886078913454975, 0.2663188093478663, 0.07788835859668616, 0.07868665860376454, 0.17328653763198767]"
11,11000,6.872895748830992e-11,3.287551328272291e-17,5.466884876876486e-11,"[0.07412554562662166, 0.07471291116711087, 0.17290073146794158, 0.07646652779201174, 0.27270609332525564, 0.07673547606165673, 0.07666703458192389, 0.17568567997747792]"
12,12000,6.68247647450539e-11,3.019345444302933e-17,5.016095297724892e-11,"[0.07185534685746658, 0.07247751632527398, 0.17467185497804574, 0.07449897212173257, 0.27794359463742996, 0.07582565683953062, 0.0749762595112939, 0.17775079872922658]"
13,13000,6.372405857256613e-11,2.788728531234649e-17,4.631604250427083e-11,"[0.06983053850572364, 0.07048647114319832, 0.1762704738131257, 0.07280220099349238, 0.2825418565676888, 0.07505013050671389, 0.07348710907780484, 0.17953121939225236]"
14,14000,6.012633414921989e-11,2.5898489169686057e-17,4.301037181365681e-11,"[0.06804967749309308, 0.06874265916854762, 0.1776204694918796, 0.07133068952687617, 0.28665918385354555, 0.07439125468047465, 0.07218274143747748, 0.1810233243481059]"
15,15000,5.660224638724817e-11,2.4172688434860256e-17,4.0143649090784174e-11,"[0.06641581233445813, 0.06714124089161076, 0.17890554218019228, 0.07002713647398752, 0.29030947016997505, 0.07380182698078493, 0.0709927862436883, 0.1824061847253031]"
16,16000,5.4729043410618665e-11,2.267723551117306e-17,3.764740654345683e-11,"[0.06498720933193643, 0.06574936096274828, 0.1799755519819298, 0.06891791948211572, 0.2934400578140986, 0.07334306410551482, 0.0699530126982452, 0.1836338236234113]"
