simulations,probability_estimate,variance,error,relative_error
1890000,2.493071E-07,3.248546E-10,1.311033E-08,0.0526
1900000,2.490498E-07,3.235508E-10,1.304952E-08,0.0524
1910000,2.488501E-07,3.222701E-10,1.298953E-08,0.0522
1920000,2.479401E-07,3.206390E-10,1.292283E-08,0.0521
1930000,2.502518E-07,3.249881E-10,1.297643E-08,0.0519
1940000,2.498146E-07,3.237403E-10,1.291807E-08,0.0517
1950000,2.493004E-07,3.222748E-10,1.285570E-08,0.0516
1960000,2.491952E-07,3.212328E-10,1.280212E-08,0.0514
1970000,2.493374E-07,3.206288E-10,1.275758E-08,0.0512
1980000,2.486468E-07,3.192640E-10,1.269821E-08,0.0511
1990000,2.504729E-07,3.221553E-10,1.272349E-08,0.0508
2000000,2.502508E-07,3.208978E-10,1.266684E-08,0.0506
2010000,2.495874E-07,3.197278E-10,1.261224E-08,0.0505
2020000,2.507932E-07,3.247943E-10,1.268027E-08,0.0506
2030000,2.502094E-07,3.235397E-10,1.262455E-08,0.0505
2040000,2.516490E-07,3.241429E-10,1.260530E-08,0.0501
2050000,2.518818E-07,3.231613E-10,1.255546E-08,0.0498
2060000,2.512336E-07,3.217170E-10,1.249693E-08,0.0497
