simulations,probability_estimate,variance,error
118000,2.338805E-07,2.956934E-10,5.005873E-08
119000,2.336016E-07,2.934319E-10,4.965697E-08
120000,2.314387E-07,2.909879E-10,4.924327E-08
121000,2.298702E-07,2.886319E-10,4.884043E-08
122000,2.292707E-07,2.864500E-10,4.845566E-08
123000,2.272641E-07,2.841241E-10,4.806196E-08
124000,2.256743E-07,2.818673E-10,4.767728E-08
125000,2.246465E-07,2.796918E-10,4.730258E-08
126000,2.226894E-07,2.774738E-10,4.692732E-08
127000,2.216086E-07,2.753646E-10,4.656420E-08
128000,2.200016E-07,2.732334E-10,4.620212E-08
129000,2.193890E-07,2.712653E-10,4.585664E-08
130000,2.214898E-07,2.706808E-10,4.563069E-08
131000,2.200978E-07,2.686409E-10,4.528459E-08
132000,2.400559E-07,3.298494E-10,4.998859E-08
133000,2.386934E-07,3.273918E-10,4.961444E-08
134000,2.369961E-07,3.249572E-10,4.924483E-08
135000,2.362474E-07,3.226349E-10,4.888649E-08
136000,2.356573E-07,3.204358E-10,4.854014E-08
137000,2.350424E-07,3.182580E-10,4.819804E-08
138000,2.332445E-07,3.159541E-10,4.784896E-08
139000,2.354379E-07,3.160425E-10,4.768319E-08
140000,2.358539E-07,3.145559E-10,4.740072E-08
141000,2.343543E-07,3.123429E-10,4.706589E-08
142000,2.324574E-07,3.101438E-10,4.673448E-08
143000,2.321809E-07,3.081836E-10,4.642338E-08
144000,2.309434E-07,3.060674E-10,4.610280E-08
145000,2.291667E-07,3.039575E-10,4.578492E-08
146000,2.294556E-07,3.021330E-10,4.549070E-08
147000,2.279322E-07,3.000817E-10,4.518155E-08
148000,2.284520E-07,2.983563E-10,4.489901E-08
149000,2.298237E-07,2.975832E-10,4.469007E-08
150000,2.299631E-07,2.958111E-10,4.440804E-08
151000,2.319015E-07,2.948878E-10,4.419162E-08
152000,2.306344E-07,2.929650E-10,4.390218E-08
153000,2.432292E-07,3.179153E-10,4.558374E-08
154000,2.418630E-07,3.158736E-10,4.528937E-08
155000,2.403309E-07,3.138430E-10,4.499771E-08
156000,2.414078E-07,3.130900E-10,4.479941E-08
157000,2.402925E-07,3.111499E-10,4.451793E-08
158000,2.420410E-07,3.095976E-10,4.426599E-08
159000,2.427434E-07,3.084258E-10,4.404299E-08
160000,2.410691E-07,3.064992E-10,4.376780E-08
161000,2.393811E-07,3.045961E-10,4.349599E-08
162000,2.378547E-07,3.027208E-10,4.322785E-08
163000,2.377963E-07,3.010715E-10,4.297749E-08
164000,2.377162E-07,2.995820E-10,4.274014E-08
165000,2.376931E-07,2.979876E-10,4.249689E-08
166000,2.362541E-07,2.961997E-10,4.224140E-08
167000,2.347494E-07,2.944281E-10,4.198860E-08
168000,2.333645E-07,2.926780E-10,4.173884E-08
169000,2.320060E-07,2.909554E-10,4.149252E-08
170000,2.311093E-07,2.892964E-10,4.125219E-08
171000,2.297456E-07,2.876097E-10,4.101132E-08
172000,2.282550E-07,2.859384E-10,4.077294E-08
173000,2.270506E-07,2.843032E-10,4.053851E-08
174000,2.257268E-07,2.826753E-10,4.030597E-08
175000,2.242565E-07,2.810605E-10,4.007568E-08
176000,2.237263E-07,2.795776E-10,3.985611E-08
177000,2.293981E-07,2.820521E-10,3.991885E-08
178000,2.304164E-07,2.815503E-10,3.977114E-08
179000,2.291409E-07,2.799854E-10,3.954951E-08
180000,2.285924E-07,2.785031E-10,3.933497E-08
181000,2.273334E-07,2.769718E-10,3.911816E-08
182000,2.263009E-07,2.754655E-10,3.890433E-08
183000,2.250707E-07,2.739677E-10,3.869226E-08
184000,2.241239E-07,2.724935E-10,3.848302E-08
