simulations,probability_estimate,variance,error
123000,0.0006560536,0.0002699707,4.684959e-05
124000,0.0006550548,0.0002678005,4.647237e-05
125000,0.0006555212,0.0002658589,4.611802e-05
126000,0.0006547452,0.0002637755,4.575431e-05
127000,0.0006542151,0.0002617368,4.539735e-05
128000,0.0006529421,0.0002596944,4.50429e-05
129000,0.0006712237,0.0002969771,4.79807e-05
130000,0.0006702873,0.0002947018,4.761236e-05
131000,0.0006702326,0.0002926743,4.726685e-05
132000,0.0006693828,0.0002904901,4.691144e-05
133000,0.0006687192,0.0002883402,4.656148e-05
134000,0.000668589,0.000286274,4.622092e-05
135000,0.0006673481,0.0002841579,4.58789e-05
136000,0.0006668366000000001,0.0002821429,4.554756e-05
137000,0.0006683943,0.0002810582,4.529371e-05
138000,0.0006670505,0.0002790235,4.496565e-05
139000,0.0006661357,0.0002770401,4.464408e-05
140000,0.0006649905,0.0002750639,4.432541e-05
141000,0.0006640519,0.0002731212,4.40117e-05
142000,0.0006639726000000001,0.0002713683,4.37155e-05
143000,0.0006628841,0.0002694779,4.341038e-05
144000,0.0006627192,0.0002676642,4.311356e-05
145000,0.0006637779,0.0002663812,4.286154e-05
146000,0.0006648007,0.0002648092,4.258828e-05
147000,0.0006637324,0.0002630116,4.229887e-05
148000,0.0006635366,0.0002613161,4.201963e-05
149000,0.000662857,0.0002595865,4.173957e-05
150000,0.0006618,0.0002578589,4.146154e-05
151000,0.0006613066000000001,0.0002561749,4.118887e-05
152000,0.0006619896,0.0002546742,4.093273e-05
153000,0.0006620513,0.0002531542,4.067681e-05
154000,0.0006624490000000001,0.0002516665,4.042521e-05
155000,0.0006615034,0.0002500453,4.016461e-05
156000,0.0006606779,0.0002484527,3.990796e-05
157000,0.0006595358,0.0002468713,3.965386e-05
158000,0.0006585106,0.0002453119,3.940313e-05
159000,0.0006580073,0.0002437812,3.915629e-05
160000,0.0006588654,0.000242663,3.894411e-05
161000,0.0006587310000000001,0.0002411928,3.870519e-05
162000,0.0006580167,0.0002397203,3.846758e-05
163000,0.0006582336,0.0002383574,3.824023e-05
164000,0.0006573966,0.0002369123,3.800772e-05
165000,0.0006566004,0.0002354828,3.777788e-05
166000,0.0006563288,0.000234086,3.755205e-05
167000,0.0006570895,0.0002330199,3.73541e-05
168000,0.0006562474,0.0002316376,3.713213e-05
169000,0.0006552113,0.0002302682,3.691251e-05
170000,0.0006552698,0.000229063,3.670735e-05
171000,0.0006598391,0.0002293487,3.662268e-05
172000,0.0006589426,0.0002280195,3.641009e-05
173000,0.0006589666,0.0002267774,3.620569e-05
174000,0.0006583466,0.0002254831,3.599833e-05
175000,0.0006576528,0.0002242026,3.579326e-05
176000,0.0006568996000000001,0.0002229372,3.559057e-05
177000,0.0006561603,0.0002216856,3.539013e-05
178000,0.0006559387,0.0002204834,3.519476e-05
179000,0.0006588972,0.0002206691,3.511109e-05
180000,0.0006579968,0.0002194462,3.491626e-05
181000,0.0006573883,0.0002182401,3.472386e-05
182000,0.0006568114,0.0002170576,3.453439e-05
183000,0.0006622019,0.0002225655,3.487413e-05
184000,0.0006615602,0.0002213644,3.468526e-05
185000,0.0006616474,0.0002203051,3.450853e-05
186000,0.0006608433,0.0002191329,3.432395e-05
187000,0.0006598631,0.0002179618,3.414046e-05
188000,0.0006591380000000001,0.000216812,3.395962e-05
189000,0.0006583537,0.0002156736,3.378062e-05
190000,0.0006580182000000001,0.0002145957,3.360731e-05
191000,0.0006576656,0.0002134955,3.343318e-05
192000,0.0006569471,0.00021239,3.325956e-05
193000,0.0006610687,0.0002139775,3.329702e-05
194000,0.000660415,0.000212887,3.312636e-05
195000,0.0006598798,0.0002118231,3.295864e-05
196000,0.0006592763,0.0002107486,3.279097e-05
197000,0.0006586745,0.000209688,3.262524e-05
198000,0.0006580683,0.000208636,3.246101e-05
199000,0.000657634,0.0002075993,3.22988e-05
200000,0.0006569222,0.0002065684,3.213786e-05
201000,0.0006564058,0.0002055478,3.197853e-05
202000,0.0006556617,0.0002045354,3.182062e-05
203000,0.0006548733,0.0002035327,3.166424e-05
204000,0.0006541365,0.0002025383,3.150928e-05
205000,0.0006550532,0.0002018219,3.137669e-05
206000,0.0006542991,0.0002008439,3.122452e-05
207000,0.0006538144,0.0001998826,3.107437e-05
208000,0.0006532907,0.0001989291,3.092556e-05
209000,0.0006527130000000001,0.0001979841,3.077812e-05
210000,0.0006518543,0.0001970421,3.063161e-05
211000,0.0006516347,0.0001961326,3.048833e-05
212000,0.0006510083,0.000195213,3.034495e-05
213000,0.0006505702,0.0001943098,3.020352e-05
214000,0.0006509961000000001,0.0001936633,3.008269e-05
215000,0.0006509897000000001,0.0001928115,2.994658e-05
216000,0.0006504613000000001,0.0001919246,2.980839e-05
217000,0.000650094,0.0001910585,2.967244e-05
218000,0.0006494319,0.0001901847,2.953654e-05
219000,0.0006500474,0.0001895967,2.942344e-05
220000,0.0006496397000000001,0.0001887498,2.929084e-05
221000,0.0006489548,0.0001878986,2.915853e-05
222000,0.0006482451,0.0001870541,2.902733e-05
223000,0.0006481078,0.0001862478,2.889969e-05
224000,0.0006480231,0.0001854811,2.87757e-05
225000,0.0006475111,0.0001846642,2.864838e-05
226000,0.0006471047,0.0001838551,2.852224e-05
227000,0.0006465938,0.0001830541,2.839729e-05
228000,0.0006479552,0.0001826291,2.830203e-05
229000,0.0006488085,0.0001822783,2.821303e-05
230000,0.0006483656,0.000181496,2.809116e-05
231000,0.0006480146,0.0001807306,2.797112e-05
232000,0.0006474729,0.000179956,2.785089e-05
233000,0.0006469168,0.0001791863,2.773157e-05
234000,0.0006464121,0.0001784255,2.761344e-05
235000,0.0006461857,0.0001776936,2.749805e-05
236000,0.0006456905,0.0001769446,2.738184e-05
237000,0.0006453203,0.0001762149,2.726761e-05
238000,0.0006476677,0.0001767392,2.725072e-05
