simulations,probability_estimate,variance,error
118000,1.005945E-06,3.458775E-09,1.712065E-07
119000,1.005789E-06,3.433977E-09,1.698733E-07
120000,1.013366E-06,3.424942E-09,1.689414E-07
121000,1.007384E-06,3.396702E-09,1.675468E-07
122000,1.005714E-06,3.372141E-09,1.662543E-07
123000,1.007007E-06,3.350273E-09,1.650394E-07
124000,1.102331E-06,4.501902E-09,1.905404E-07
125000,1.095958E-06,4.465965E-09,1.890178E-07
126000,1.090073E-06,4.430601E-09,1.875193E-07
127000,1.086294E-06,4.396073E-09,1.860504E-07
128000,1.078963E-06,4.361743E-09,1.845972E-07
129000,1.075149E-06,4.328407E-09,1.831763E-07
130000,1.069006E-06,4.295169E-09,1.817684E-07
131000,1.064040E-06,4.262504E-09,1.803835E-07
132000,1.056719E-06,4.230223E-09,1.790172E-07
133000,1.052167E-06,4.198794E-09,1.776791E-07
134000,1.058143E-06,4.175900E-09,1.765317E-07
135000,1.069968E-06,4.185201E-09,1.760724E-07
136000,1.068546E-06,4.156533E-09,1.748220E-07
137000,1.062749E-06,4.126290E-09,1.735480E-07
138000,1.056834E-06,4.096414E-09,1.722909E-07
139000,1.067735E-06,4.097599E-09,1.716949E-07
140000,1.065316E-06,4.069418E-09,1.704913E-07
141000,1.061349E-06,4.041262E-09,1.692969E-07
142000,1.060097E-06,4.014291E-09,1.681358E-07
143000,1.060713E-06,3.989731E-09,1.670336E-07
144000,1.061428E-06,3.964408E-09,1.659235E-07
145000,1.057267E-06,3.937545E-09,1.647892E-07
146000,1.068822E-06,3.951332E-09,1.645111E-07
147000,1.065187E-06,3.924827E-09,1.633998E-07
148000,1.060042E-06,3.898370E-09,1.622971E-07
149000,1.054536E-06,3.872250E-09,1.612087E-07
150000,1.051842E-06,3.847478E-09,1.601557E-07
151000,1.047049E-06,3.822046E-09,1.590961E-07
152000,1.056866E-06,3.812370E-09,1.583710E-07
153000,1.062752E-06,3.801106E-09,1.576193E-07
154000,1.057389E-06,3.776469E-09,1.565967E-07
155000,1.052852E-06,3.752204E-09,1.555885E-07
156000,1.048398E-06,3.728264E-09,1.545934E-07
157000,1.043632E-06,3.704600E-09,1.536105E-07
158000,1.038883E-06,3.681230E-09,1.526398E-07
159000,1.043402E-06,3.669378E-09,1.519140E-07
160000,1.038603E-06,3.646515E-09,1.509659E-07
161000,1.037765E-06,3.624789E-09,1.500474E-07
162000,1.072693E-06,3.834071E-09,1.538412E-07
163000,1.067856E-06,3.810677E-09,1.528999E-07
164000,1.062360E-06,3.787460E-09,1.519680E-07
165000,1.057245E-06,3.764530E-09,1.510475E-07
166000,1.052040E-06,3.741881E-09,1.501381E-07
167000,1.047242E-06,3.719503E-09,1.492396E-07
168000,1.041833E-06,3.697372E-09,1.483515E-07
169000,1.043559E-06,3.679929E-09,1.475626E-07
170000,1.039851E-06,3.658484E-09,1.466986E-07
171000,1.035105E-06,3.637175E-09,1.458425E-07
172000,1.035744E-06,3.617669E-09,1.450274E-07
173000,1.035232E-06,3.598838E-09,1.442308E-07
174000,1.030518E-06,3.578184E-09,1.434025E-07
175000,1.025797E-06,3.557757E-09,1.425835E-07
176000,1.020914E-06,3.537552E-09,1.417735E-07
177000,1.016836E-06,3.517620E-09,1.409736E-07
178000,1.015390E-06,3.498463E-09,1.401938E-07
179000,1.010653E-06,3.478945E-09,1.394111E-07
180000,1.007966E-06,3.459885E-09,1.386419E-07
181000,1.005266E-06,3.441154E-09,1.378837E-07
182000,1.016861E-06,3.462017E-09,1.379205E-07
183000,1.013500E-06,3.443174E-09,1.371684E-07
184000,1.045890E-06,3.673430E-09,1.412951E-07
185000,1.525824E-06,4.716017E-08,5.048959E-07
186000,1.521845E-06,4.690725E-08,5.021847E-07
187000,1.515100E-06,4.665644E-08,4.994994E-07
188000,1.508459E-06,4.640833E-08,4.968429E-07
189000,1.505867E-06,4.616390E-08,4.942200E-07
190000,1.498914E-06,4.592095E-08,4.916190E-07
191000,1.493434E-06,4.568070E-08,4.890460E-07
192000,1.489436E-06,4.544330E-08,4.865016E-07
193000,1.483028E-06,4.520788E-08,4.839811E-07
194000,1.477296E-06,4.497501E-08,4.814872E-07
195000,1.481730E-06,4.476120E-08,4.791082E-07
196000,1.477752E-06,4.453355E-08,4.766676E-07
197000,1.480440E-06,4.432185E-08,4.743248E-07
198000,1.479244E-06,4.409951E-08,4.719373E-07
199000,1.473965E-06,4.387832E-08,4.695680E-07
200000,1.467924E-06,4.365898E-08,4.672204E-07
201000,1.462126E-06,4.344185E-08,4.648963E-07
202000,1.459118E-06,4.322878E-08,4.626055E-07
203000,1.460078E-06,4.302313E-08,4.603657E-07
204000,1.455472E-06,4.281237E-08,4.581098E-07
205000,1.449886E-06,4.260358E-08,4.558754E-07
206000,1.446055E-06,4.239735E-08,4.536655E-07
207000,1.445284E-06,4.219529E-08,4.514886E-07
208000,1.445662E-06,4.199673E-08,4.493410E-07
209000,1.439383E-06,4.179581E-08,4.471912E-07
210000,1.456681E-06,4.166386E-08,4.454204E-07
211000,1.451217E-06,4.146649E-08,4.433099E-07
212000,1.445453E-06,4.127092E-08,4.412189E-07
213000,1.439911E-06,4.107726E-08,4.391480E-07
214000,1.434645E-06,4.088537E-08,4.370962E-07
215000,1.437315E-06,4.071111E-08,4.351482E-07
216000,1.434283E-06,4.052322E-08,4.331368E-07
217000,1.430999E-06,4.033720E-08,4.311447E-07
218000,1.427734E-06,4.015270E-08,4.291698E-07
219000,1.422148E-06,3.996939E-08,4.272103E-07
220000,1.416058E-06,3.978772E-08,4.252685E-07
221000,1.410609E-06,3.960771E-08,4.233443E-07
222000,1.404977E-06,3.942931E-08,4.214374E-07
223000,1.403110E-06,3.925316E-08,4.195511E-07
224000,1.398915E-06,3.907811E-08,4.176791E-07
225000,1.394696E-06,3.890460E-08,4.158237E-07
226000,1.390059E-06,3.873257E-08,4.139843E-07
227000,1.386681E-06,3.856258E-08,4.121640E-07
228000,1.384478E-06,3.839436E-08,4.103612E-07
229000,1.379230E-06,3.822672E-08,4.085693E-07
